material,Channel,Band,Recording,r,p,rob_r,q,rob_p,rob_q
Maps,P7,High Beta,Eyes Open,0.07422225128844298,0.6084665260675797,-0.13702613521706866,0.6084665260675797,0.34267133004286665,0.43794060854306066
Maps,P7,Gamma,Eyes Open,0.06206301792540066,0.6685308726220547,-0.11317615122336105,0.7199563243622127,0.4338889848874584,0.6931910956096257
Maps,P8,Delta,Eyes Open,0.11694538462571269,0.41863361747430083,-0.06805476128067406,0.6855444210170548,0.6386454847008236,0.997627611925373
Maps,P8,Theta,Eyes Open,0.2749929885103285,0.05326628941300446,0.09012113624638675,0.4411954727856233,0.533676738505223,0.8421207564568873
Maps,P8,Alpha,Eyes Open,0.3158008288549854,0.025477692893625448,0.23646830670109514,0.18433875669937136,0.09826316890851966,0.35225109236503216
Maps,P8,Low Beta,Eyes Open,0.31972468784673497,0.023612002907581267,0.2648731135159762,0.20606276450166666,0.06303867901011793,0.24608667844425922
Maps,P8,Upper Beta,Eyes Open,0.43588986966735704,0.001555530366959954,0.37058027243102615,0.01340103107319023,0.008068855658228184,0.029374548001164125
Maps,P8,High Beta,Eyes Open,0.3105162004173142,0.028184176158928823,0.23182056524369282,0.13967922074590597,0.10525138288634124,0.2876737275643883
Maps,P8,Gamma,Eyes Open,0.23668167339726326,0.09795119163662182,0.17514532636672597,0.44705306957202434,0.22376767318466234,0.6084153907226203
Maps,T7,Delta,Eyes Open,-0.09998120379584806,0.48967458644075346,-0.24563616077473885,0.6855444210170548,0.08553579850061127,0.5987505895042788
Maps,T7,Theta,Eyes Open,-0.19094825781224953,0.18407331082864362,-0.3536841022054876,0.5154052703202021,0.01174570741359527,0.1644399037903338
Maps,T7,Alpha,Eyes Open,-0.0334609341657846,0.8175597874763612,-0.07395090469741879,0.8175597874763612,0.609781283422743,0.6927878523783197
Maps,T7,Low Beta,Eyes Open,-0.09234061968831873,0.5236059611291091,-0.23168181788601186,0.610873621317294,0.10546571933325394,0.24608667844425922
Maps,T7,Upper Beta,Eyes Open,-0.07168172346984647,0.6208236266122081,-0.26155895623518555,0.6208236266122081,0.06653413351468751,0.09314778692056251
Maps,T7,High Beta,Eyes Open,-0.136586662232908,0.3442363131360878,-0.37143644378132495,0.40325144381193073,0.007912678212538611,0.05330225602533891
Maps,T7,Gamma,Eyes Open,-0.1051120483871022,0.46754976751500366,-0.31985493883999755,0.6619113099793607,0.02355209532693986,0.20273643359186472
Maps,T8,Delta,Eyes Open,0.19824762775092514,0.1675532582015098,-0.009876077905918096,0.6855444210170548,0.9457301364027049,0.997627611925373
Maps,T8,Theta,Eyes Open,0.2192558633237154,0.12605584936732095,0.14726295430311237,0.4411954727856233,0.3074695220452668,0.8421207564568873
Maps,T8,Alpha,Eyes Open,0.2695535362945409,0.058354229656926604,0.29752664565331505,0.18433875669937136,0.035869907486310706,0.35225109236503216
Maps,T8,Low Beta,Eyes Open,0.20334160372365934,0.15668152114228864,0.2087995223334941,0.24372681066578233,0.1456176553980427,0.25483089694657474
Maps,T8,Upper Beta,Eyes Open,0.2339967318187882,0.10193327086557506,0.23912850676534106,0.1528921955747974,0.09442805593305628,0.11016606525523234
Maps,T8,High Beta,Eyes Open,0.08105128260594616,0.5757896765852085,0.1007798979156392,0.6084665260675797,0.48619506799920686,0.5235946886145304
Maps,T8,Gamma,Eyes Open,0.08284271920716443,0.5673525514108805,0.07436870562355181,0.6619113099793607,0.6077574184229972,0.7239339139787416
Vocabulary,AF3,Delta,Eyes Open,0.1567695682750431,0.2769351522117868,0.05984246434738647,0.8937908679033256,0.6797401325858171,0.8089972358152617
Vocabulary,AF3,Theta,Eyes Open,0.042338295488391305,0.7703357340789279,0.12560655273498064,0.9526466405022743,0.3847609791650132,0.994883628799534
Vocabulary,AF3,Alpha,Eyes Open,0.17637698007978928,0.22047651828071774,0.04430522696821429,0.3429634728811165,0.7599766616024533,0.8189618402442945
Vocabulary,AF3,Low Beta,Eyes Open,0.19391787679642555,0.17721695597836876,0.18340952522085072,0.39438071215130704,0.20232834831459912,0.8833086969431748
Vocabulary,AF3,Upper Beta,Eyes Open,0.2183343942558608,0.12769561039796634,0.19169219602832863,0.3575477091143057,0.18233809582645247,0.8509111138567782
Vocabulary,AF3,High Beta,Eyes Open,0.12957464101771102,0.369801116141402,0.19595729022315006,0.9905560154893804,0.17261622740331395,0.8055423945487985
Vocabulary,AF3,Gamma,Eyes Open,0.07954469388495962,0.5829293514339835,0.13441463925258304,0.719974247624725,0.3520356905817006,0.6026669895481048
Vocabulary,AF4,Delta,Eyes Open,0.08968641945250598,0.5356602787164193,-0.0214579773176724,0.8937908679033256,0.8824137515206566,0.8824137515206566
Vocabulary,AF4,Theta,Eyes Open,0.06249529296548334,0.6663569694029297,0.16986851222747995,0.9526466405022743,0.23825252649456147,0.994883628799534
Vocabulary,AF4,Alpha,Eyes Open,0.19594003861801962,0.17265477911507718,0.04733893905519281,0.3429634728811165,0.7440812719048575,0.8189618402442945
Vocabulary,AF4,Low Beta,Eyes Open,0.2673380807743963,0.060535433456010625,0.2193346689136299,0.28249868946138296,0.12591635488350492,0.8833086969431748
Vocabulary,AF4,Upper Beta,Eyes Open,0.2525622091515,0.07680620014218358,0.20128624749997412,0.26882170049764254,0.16100403735959515,0.8509111138567782
Vocabulary,AF4,High Beta,Eyes Open,0.1394521401607433,0.3341116738731694,0.14718003723237486,0.9905560154893804,0.30774498539030287,0.861685959092848
Vocabulary,AF4,Gamma,Eyes Open,0.07888186396329613,0.5860830942606612,0.034224993402597235,0.719974247624725,0.8134673853498664,0.8134673853498664
Vocabulary,F3,Delta,Eyes Open,-0.13611662768495777,0.34591500749229487,-0.21842458218247102,0.8937908679033256,0.12753441470963628,0.5468190481187089
Vocabulary,F3,Theta,Eyes Open,0.04199177021778705,0.772164924705149,0.050014048484673196,0.9526466405022743,0.730151641097677,0.994883628799534
Vocabulary,F3,Alpha,Eyes Open,0.16472306725843744,0.2529816367410624,0.010748446167195917,0.3541742914374873,0.9409445426447103,0.9409445426447103
Vocabulary,F3,Low Beta,Eyes Open,0.0867780277251172,0.5490225729375865,-0.02878692864360619,0.6405263350938509,0.8426954237704776,0.9629352661255608
Vocabulary,F3,Upper Beta,Eyes Open,0.18214711167890116,0.2055059222258039,0.038617723138540894,0.38010575146046977,0.7900380926893964,0.9420754091152403
Vocabulary,F3,High Beta,Eyes Open,-0.001717379177701091,0.9905560154893804,-0.1289809769001625,0.9905560154893804,0.3720167040117809,0.8680389760274888
Vocabulary,F3,Gamma,Eyes Open,-0.09561781945073669,0.5089105194332906,-0.15322839335007313,0.719974247624725,0.28806630999777344,0.6026669895481048
Vocabulary,F4,Delta,Eyes Open,-0.12207710868149736,0.39836349243767577,-0.21882709755526297,0.8937908679033256,0.1268168544542648,0.5468190481187089
Vocabulary,F4,Theta,Eyes Open,0.04284481457181836,0.7676642166361737,0.11885400740370204,0.9526466405022743,0.41102691458611507,0.994883628799534
Vocabulary,F4,Alpha,Eyes Open,0.17741768275519326,0.21772193773308604,0.057896474477547574,0.3429634728811165,0.689620189110539,0.8189618402442945
Vocabulary,F4,Low Beta,Eyes Open,0.17577976603452766,0.22206813634896386,-0.016968494306604475,0.39438071215130704,0.9068925836743165,0.9629352661255608
Vocabulary,F4,Upper Beta,Eyes Open,0.20054127100071445,0.1625921004964815,0.02458211200652073,0.37938156782512356,0.8654420249933253,0.9420754091152403
Vocabulary,F4,High Beta,Eyes Open,0.00978143169494594,0.9462494588701575,0.030421915210837994,0.9905560154893804,0.8338838653669453,0.9187845988796023
Vocabulary,F4,Gamma,Eyes Open,-0.11416890685074815,0.42984107912958813,-0.17273765472739397,0.719974247624725,0.23029920458916922,0.6026669895481048
Vocabulary,F7,Delta,Eyes Open,0.15600407527076232,0.27931697485826873,0.057149547068831914,0.8937908679033256,0.6934262021273672,0.8089972358152617
Vocabulary,F7,Theta,Eyes Open,0.08650729723283358,0.5502744679919704,0.20121964217057742,0.9526466405022743,0.1611455560463787,0.994883628799534
Vocabulary,F7,Alpha,Eyes Open,0.1877458428723437,0.1916780473568248,0.08145685297006487,0.3429634728811165,0.5738745467121447,0.8189618402442945
Vocabulary,F7,Low Beta,Eyes Open,0.21543395860891212,0.1329618587045796,0.11072191768752528,0.39438071215130704,0.443987006907434,0.887974013814868
Vocabulary,F7,Upper Beta,Eyes Open,0.2580091610495599,0.07044777673934098,0.11094928210004255,0.26882170049764254,0.4430460839894417,0.9420754091152403
Vocabulary,F7,High Beta,Eyes Open,0.1421980415537211,0.3245859480514883,0.005736670260673503,0.9905560154893804,0.9684609058082462,0.9684609058082462
Vocabulary,F7,Gamma,Eyes Open,0.07244072353337497,0.6171207836783357,-0.10060567968498906,0.719974247624725,0.4869529454935452,0.6026669895481048
Vocabulary,F8,Delta,Eyes Open,-0.050195387156530255,0.7292104428131214,-0.029247609318136372,0.8937908679033256,0.8402106628479891,0.8824137515206566
Vocabulary,F8,Theta,Eyes Open,9.132508277444893e-4,0.9949778903475657,0.04181162361943932,0.9949778903475657,0.7731163434634434,0.994883628799534
Vocabulary,F8,Alpha,Eyes Open,0.20764207317749128,0.1479141271522802,0.10200455696413861,0.3429634728811165,0.48088508049198353,0.8189618402442945
Vocabulary,F8,Low Beta,Eyes Open,0.17455377824162915,0.225360406943604,0.08971255446155565,0.39438071215130704,0.5355409275059528,0.8985363068739044
Vocabulary,F8,Upper Beta,Eyes Open,0.1776146566882253,0.21720328654883986,0.02813452890170782,0.38010575146046977,0.8462168453098621,0.9420754091152403
Vocabulary,F8,High Beta,Eyes Open,0.013141356008827057,0.9278287305619908,0.08538469107207951,0.9905560154893804,0.5554800289173918,0.9187845988796023
Vocabulary,F8,Gamma,Eyes Open,-0.10378655661298004,0.47321349422131,-0.09627792881391443,0.719974247624725,0.5059760331254847,0.6026669895481048
Vocabulary,FC5,Delta,Eyes Open,-0.07255786532990156,0.6165501336642354,-0.2035567593323239,0.8937908679033256,0.15623401374820253,0.5468190481187089
Vocabulary,FC5,Theta,Eyes Open,-0.17192217334209545,0.23254089987825977,-0.09201478805490938,0.9526466405022743,0.5250784687874568,0.994883628799534
Vocabulary,FC5,Alpha,Eyes Open,0.06300892211326348,0.663777462686909,-0.125905376990225,0.7213076427966811,0.3836220827832816,0.8189618402442945
